Username|Games|Min_ELO|Max_ELO
musarrrr|132|932|1037
Daddy147|61|1145|1287
HosnaTaheri|16|926|985
Liana_Venera|21|1055|1082
vicrosoft|11|1075|1318
Froschgeist|20|1033|1145
yathran_2016|12|492|599
joaomiguel_2010|10|897|950
ClementSteinitz|31|800|1432
zaki-seb|22|982|1045
tarnik|10|679|702
Amenothep2|14|1061|1124
zamfiroiustefan|30|663|889
shenali3b|11|909|949
yaseen_69|12|920|1050
Francesca_Ale|17|1085|1139
chriskie|16|1338|1373
calmoss|11|1138|1196
Aadidev1936|14|1480|1575
Sevensquare|15|1119|1207
marco3105|25|1061|1105
haneunghan|13|1206|1243
mixalwch|16|1061|1125
austinhua2|29|1020|1125
MariePaugam|36|1066|1188
yenulsamarathunga|11|1015|1040
mancha112|92|1068|1145
cacahotier|14|1233|1279
MmalowW|11|864|962
Adriel143|10|713|734
faridlzangene|82|971|1071
NastyaAA10|13|1087|1140
AnnieCoolBlondEmo|33|1010|1189
Nuyulu|13|1546|1601
Giampi1954|67|1189|1279
aziz3007|14|1002|1305
MethuliKulathunga|12|715|771
Johann_Strauss|20|947|991
Vorjo_78|12|1077|1143
Mishgun48|14|1132|1185
abdallah_salem_74|32|1175|1335
Nare2016|13|875|1197
minhhoangnguyentan|10|987|1029
Aral_2017|14|936|1041
Khanhvi22k11|11|816|1033
brink1959|22|1203|1271
AnanyaKasetti|14|491|541
CEZacF|15|983|1092
NathanKuo|14|1558|1711
rogelio94558|15|1181|1215
hello157|10|1524|1607
jheryauzaardaya11|71|1009|1554
Juergenz|58|1010|1104
Doruk0748|53|1108|1227
Dineshchackravarthy|12|781|949
owais82|10|869|952
Alska2020|15|1073|1144
SasiThirushika|19|1141|1174
Kaaia|10|1034|1064
dpinter7|94|746|785
ryzellllllllllllllll|11|845|1085
MarkBandara|24|1168|1190
gokul33|64|903|952
EvAn125|10|967|1004
