1) Total Games Played: 98994760

2) Distinct Time Controls and Proportions:

  - 1800+6: 316 games (0.00%)
  - 660+10: 310 games (0.00%)
  - 1020+10: 306 games (0.00%)
  - 30+12: 306 games (0.00%)
  - 900+60: 304 games (0.00%)
  - 840+16: 304 games (0.00%)
  - 600+180: 300 games (0.00%)
  - 720+12: 299 games (0.00%)
  - 900+45: 290 games (0.00%)
  - 420+9: 281 games (0.00%)
  - 660+8: 279 games (0.00%)
  - 840+1: 279 games (0.00%)
  - 540+7: 279 games (0.00%)
  - 780+4: 278 games (0.00%)
  - 15+6: 276 games (0.00%)
  - 960+10: 275 games (0.00%)
  - 240+10: 272 games (0.00%)
  - 1800+18: 265 games (0.00%)
  - 600+11: 262 games (0.00%)
  - 1800+25: 262 games (0.00%)
  - 840+4: 259 games (0.00%)
  - 90+7: 258 games (0.00%)
  - 1200+13: 256 games (0.00%)
  - 1500+30: 252 games (0.00%)
  - 0+180: 250 games (0.00%)
  - 300+14: 249 games (0.00%)
  - 660+6: 249 games (0.00%)
  - 960+16: 246 games (0.00%)
  - 5400+3: 242 games (0.00%)
  - 2400+5: 239 games (0.00%)
  - 900+40: 237 games (0.00%)
  - 480+12: 235 games (0.00%)
  - 720+7: 231 games (0.00%)
  - 2400+20: 230 games (0.00%)
  - 840+5: 230 games (0.00%)
  - 360+20: 230 games (0.00%)
  - 660+1: 228 games (0.00%)
  - 2100+20: 227 games (0.00%)
  - 45+6: 227 games (0.00%)
  - 300+45: 226 games (0.00%)
  - 660+7: 226 games (0.00%)
  - 1800+180: 225 games (0.00%)
  - 1080+6: 224 games (0.00%)
  - 1500+6: 219 games (0.00%)
  - 0+30: 219 games (0.00%)
  - 10800+10: 218 games (0.00%)
  - 780+2: 216 games (0.00%)
  - 840+11: 212 games (0.00%)
  - 1200+60: 211 games (0.00%)
  - 240+180: 211 games (0.00%)
  - 960+15: 207 games (0.00%)
  - 15+180: 203 games (0.00%)
  - 660+9: 200 games (0.00%)
  - 300+60: 199 games (0.00%)
  - 120+14: 193 games (0.00%)
  - 45+13: 192 games (0.00%)
  - 600+60: 192 games (0.00%)
  - 1020+5: 192 games (0.00%)
  - 90+9: 190 games (0.00%)
  - 960+14: 187 games (0.00%)
  - 720+1: 185 games (0.00%)
  - 540+12: 181 games (0.00%)
  - 300+18: 181 games (0.00%)
  - 1200+12: 181 games (0.00%)
  - 2700+2: 179 games (0.00%)
  - 900+180: 177 games (0.00%)
  - 360+35: 174 games (0.00%)
  - 600+14: 173 games (0.00%)
  - 540+45: 172 games (0.00%)
  - 180+16: 172 games (0.00%)
  - 840+2: 171 games (0.00%)
  - 360+15: 169 games (0.00%)
  - 480+45: 165 games (0.00%)
  - 300+35: 164 games (0.00%)
  - 5400+60: 164 games (0.00%)
  - 240+11: 163 games (0.00%)
  - 60+25: 162 games (0.00%)
  - 780+13: 161 games (0.00%)
  - 1140+11: 161 games (0.00%)
  - 660+20: 160 games (0.00%)
  - 1140+6: 158 games (0.00%)
  - 720+19: 158 games (0.00%)
  - 0+19: 157 games (0.00%)
  - 90+35: 157 games (0.00%)
  - 1080+9: 157 games (0.00%)
  - 10800+5: 153 games (0.00%)
  - 2700+180: 151 games (0.00%)
  - 900+90: 149 games (0.00%)
  - 90+6: 149 games (0.00%)
  - 2100+15: 148 games (0.00%)
  - 780+11: 147 games (0.00%)
  - 300+25: 146 games (0.00%)
  - 1800+4: 146 games (0.00%)
  - 2400+1: 145 games (0.00%)
  - 1500+120: 144 games (0.00%)
  - 3600+45: 143 games (0.00%)
  - 540+13: 142 games (0.00%)
  - 1200+25: 140 games (0.00%)
  - 1800+13: 140 games (0.00%)
  - 720+20: 139 games (0.00%)
  - 180+20: 139 games (0.00%)
  - 3600+15: 138 games (0.00%)
  - 3600+8: 138 games (0.00%)
  - 1500+8: 137 games (0.00%)
  - 3600+4: 136 games (0.00%)
  - 720+14: 136 games (0.00%)
  - 3000+10: 136 games (0.00%)
  - 1080+16: 135 games (0.00%)
  - 240+20: 135 games (0.00%)
  - 840+10: 133 games (0.00%)
  - 1200+45: 132 games (0.00%)
  - 2700+6: 131 games (0.00%)
  - 900+13: 131 games (0.00%)
  - 300+90: 131 games (0.00%)
  - 1200+16: 131 games (0.00%)
  - 600+45: 130 games (0.00%)
  - 1800+60: 128 games (0.00%)
  - 2100+7: 126 games (0.00%)
  - 780+8: 123 games (0.00%)
  - 780+9: 122 games (0.00%)
  - 3600+180: 122 games (0.00%)
  - 10800+1: 121 games (0.00%)
  - 1080+8: 121 games (0.00%)
  - 6300+0: 120 games (0.00%)
  - 780+1: 118 games (0.00%)
  - 1800+11: 117 games (0.00%)
  - 720+9: 117 games (0.00%)
  - 2700+1: 113 games (0.00%)
  - 120+18: 113 games (0.00%)
  - 7200+30: 113 games (0.00%)
  - 240+9: 113 games (0.00%)
  - 7200+10: 112 games (0.00%)
  - 1200+180: 111 games (0.00%)
  - 420+12: 110 games (0.00%)
  - 180+13: 109 games (0.00%)
  - 4500+5: 109 games (0.00%)
  - 1440+0: 108 games (0.00%)
  - 2100+60: 106 games (0.00%)
  - 0+20: 104 games (0.00%)
  - 2700+8: 104 games (0.00%)
  - 5400+5: 104 games (0.00%)
  - 780+6: 102 games (0.00%)
  - 960+12: 102 games (0.00%)
  - 9000+0: 102 games (0.00%)
  - 360+9: 101 games (0.00%)
  - 15+20: 100 games (0.00%)
  - 2400+15: 98 games (0.00%)
  - 480+13: 95 games (0.00%)
  - 1800+90: 95 games (0.00%)
  - 960+6: 95 games (0.00%)
  - 15+12: 94 games (0.00%)
  - 180+18: 94 games (0.00%)
  - 1200+11: 93 games (0.00%)
  - 4500+0: 93 games (0.00%)
  - 2100+25: 93 games (0.00%)
  - 180+25: 93 games (0.00%)
  - 360+30: 93 games (0.00%)
  - 15+30: 91 games (0.00%)
  - 780+7: 91 games (0.00%)
  - 30+7: 91 games (0.00%)
  - 0+45: 91 games (0.00%)
  - 45+10: 91 games (0.00%)
  - 10800+15: 91 games (0.00%)
  - 1800+40: 91 games (0.00%)
  - 1800+9: 90 games (0.00%)
  - 480+11: 89 games (0.00%)
  - 1080+5: 89 games (0.00%)
  - 1200+19: 88 games (0.00%)
  - 600+19: 88 games (0.00%)
  - 1140+18: 87 games (0.00%)
